AirlineID	Name	IATA	ICAO	Country
3	1Time Airline	1T	RNX	South Africa
10	40-Mile Air	Q5	MLA	United States
13	Ansett Australia	AN	AAA	Australia
21	Aigle Azur	ZI	AAF	France
22	Aloha Airlines	AQ	AAH	United States
24	American Airlines	AA	AAL	United States
28	Asiana Airlines	OZ	AAR	Republic of Korea
29	Askari Aviation	4K	AAS	Pakistan
32	Afriqiyah Airways	8U	AAW	Libya
35	Allegiant Air	G4	AAY	United States
42	ABSA - Aerolinhas Brasileiras	M3	TUS	Brazil
55	Astral Aviation	8V	ACP	Kenya
72	Ada Air	ZY	ADE	Albania
83	Adria Airways	JP	ADR	Slovenia
90	Air Europa	UX	AEA	Spain
93	Aero Benin	EM	AEB	Benin
96	Aegean Airlines	A3	AEE	Greece
106	Air Europe	PE	AEL	Italy
109	Alaska Central Express	KO	AER	United States
112	Astraeus	5W	AEU	United Kingdom
114	Aerosvit Airlines	VV	AEW	Ukraine
116	Air Italy	I9	AEY	Italy
120	Alliance Airlines	QQ	UTY	Australia
125	Ariana Afghan Airlines	FG	AFG	Afghanistan
130	Aeroflot Russian Airlines	SU	AFL	Russia
132	Air Bosna	JA	BON	Bosnia and Herzegovina
137	Air France	AF	AFR	France
139	Air Caledonie International	SB	ACI	France
149	Air Cargo Carriers	2Q	SNC	United States
153	Air Namibia	SW	NMB	Namibia
165	Aerolitoral	5D	SLI	Mexico
174	Air Glaciers	7T	AGV	Switzerland
179	Aeroper	PL	PLI	Peru
180	Atlas Blue	8A	BMM	Morocco
197	Azerbaijan Airlines	J2	AHY	Azerbaijan
198	Avies	U3	AIA	Estonia
208	Airblue	ED	ABQ	Pakistan
214	Air Berlin	AB	BER	Germany
218	Air India Limited	AI	AIC	India
220	Air Bourbon	ZB	BUB	Reunion
221	Air Atlanta Icelandic	CC	ABD	Iceland
225	Air Tahiti Nui	TN	THT	France
231	Arkia Israel Airlines	IZ	AIZ	Israel
239	Air Jamaica	JM	AJM	Jamaica
240	Air One	AP	ADH	Italy
241	Air Sahara	S2	RSH	India
242	Air Malta	KM	AMC	Malta
250	Air Japan	NQ	AJX	Japan
263	Air Kiribati	4A	AKL	Kiribati
281	America West Airlines	HP	AWE	United States
282	Air Wisconsin	ZW	AWI	United States
286	Tatarstan Airlines	U9	TAK	Russia
306	Air Malawi	QM	AML	Malawi
316	Air Macau	NX	AMU	Macao
319	Air Seychelles	HM	SEY	Seychelles
321	AeroMéxico	AM	AMX	Mexico
324	All Nippon Airways	NH	ANA	Japan
327	Air Nostrum	YW	ANE	Spain
328	Air Niugini	PX	ANG	Papua New Guinea
329	Air Arabia	G9	ABY	United Arab Emirates
330	Air Canada	AC	ACA	Canada
333	Air Baltic	BT	BTI	Latvia
336	Air Nippon	EL	ANK	Japan
338	Airnorth	TL	ANO	Australia
341	Air North Charter - Canada	4N	ANT	Canada
345	Air New Zealand	NZ	ANZ	New Zealand
371	Alitalia Express	XM	SMX	Italy
386	Aero Flight	GV	ARF	Germany
397	Arrow Air	JW	APW	United States
410	Aerocondor	2B	ARD	Portugal
411	Aires	4C	ARE	 S.A.
412	Aerolineas Argentinas	AR	ARG	Argentina
439	Alaska Airlines	AS	ASA	ALASKA
442	Air Sinai	4D	ASD	Egypt
452	Atlantic Southeast Airlines	EV	ASQ	United States
