	City	iso_code	Timezone
1	Goroka	PG	10
2	Madang	PG	10
3	Mount Hagen	PG	10
4	Nadzab	PG	10
5	Port Moresby	PG	10
6	Wewak	PG	10
7	Buka Island	PG	10
8	Kundiawa	PG	10
9	Daru	PG	10
10	Gurney	PG	10
11	Girua	PG	10
12	Hoskins	PG	10
13	Kiunga	PG	10
14	Kikori	PG	10
15	Kerema	PG	10
16	Kavieng	PG	10
17	Mendi	PG	10
18	Momote	PG	10
19	Moro	PG	10
20	Misima Island	PG	10
21	Tari	PG	10
22	Tabubil	PG	10
23	Tokua	PG	10
24	Vanimo	PG	10
25	Wapenamanda	PG	10
26	Kieta	PG	10
27	Narssarssuaq	GL	-3
28	Godthaab	GL	-3
29	Sondrestrom	GL	-3
30	Thule	GL	-4
31	Ilulissat	GL	-3
32	Qasigiannguit	GL	-3
33	Aasiaat	GL	-3
34	Alluitsup Paa	GL	-3
35	Neerlerit Inaat	GL	-1
36	Paamiut	GL	-3
37	Qeqertarsuaq Airport	GL	-3
38	Qaqortoq	GL	-3
39	Maniitsoq	GL	-3
40	Nanortalik	GL	-3
41	Narsaq	GL	-3
42	Qaanaaq	GL	-4
43	Sisimiut	GL	-3
44	Upernavik	GL	-3
45	Uummannaq	GL	-3
46	Angmagssalik	GL	-3
47	Ittoqqortoormiit	GL	-1
49	Akureyri	IS	0
50	Egilsstadir	IS	0
51	Hofn	IS	0
52	Husavik	IS	0
53	Isafjordur	IS	0
54	Keflavik	IS	0
55	Patreksfjordur	IS	0
56	Reykjavik	IS	0
57	Siglufjordur	IS	0
58	Vestmannaeyjar	IS	0
59	Bakki	IS	0
60	Grímsey	IS	0
61	Thorshofn	IS	0
62	Vopnafjörður	IS	0
63	Myvatn	IS	0
64	Bildudalur	IS	0
65	Gjogur	IS	0
66	Saudarkrokur	IS	0
67	Selfoss	IS	0
68	Nordfjordur	IS	0
69	Sault Sainte Marie	CA	-5
70	Winnipeg	CA	-6
71	Halifax	CA	-4
72	St. Anthony	CA	-3.5
73	Tofino	CA	-8
74	Pelly Bay	CA	-7
75	Baie Comeau	CA	-5
76	Bagotville	CA	-5
77	Baker Lake	CA	-6
78	Campbell River	CA	-8
79	Brandon	CA	-6
80	Cambridge Bay	CA	-7
81	Nanaimo	CA	-8
82	Castlegar	CA	-8
83	Chatham	CA	-4
84	Charlo	CA	-4
85	Coppermine	CA	-7
86	Coronation	CA	-7
87	Chilliwack	CA	-8
88	Clyde River	CA	-5
89	Coral Harbour	CA	-5
90	Dawson	CA	-8
91	Burwash	CA	-8
92	Princeton	CA	-8
93	Deer Lake	CA	-3.5
94	Dease Lake	CA	-8
95	Dauphin	CA	-6
96	Dawson Creek	CA	-7
97	Edmonton	CA	-7
98	Eskimo Point	CA	-6
99	Estevan	CA	-6
100	Edson	CA	-7
101	Eureka	CA	-6
102	Inuvik	CA	-7
103	Iqaluit	CA	-5
104	Fredericton	CA	-4
105	Forestville	CA	-5
106	Flin Flon	CA	-6
107	Fort Resolution	CA	-7
108	Fort Simpson	CA	-7
109	Kingston	CA	-5
110	La Grande Riviere	CA	-5
111	Gaspe	CA	-5
112	Geraldton	CA	-5
113	Iles De La Madeleine	CA	-5
114	Hudson Bay	CA	-6
115	Dryden	CA	-6
116	Holman Island	CA	-7
117	Gjoa Haven	CA	-7
118	Hamilton	CA	-5
119	Montreal	CA	-5
120	Hay River	CA	-7
122	Atikokan	CA	-5
123	Pond Inlet	CA	-5
124	St. Jean	CA	-5
125	Stephenville	CA	-3.5
126	Kamloops	CA	-8
127	Waterloo	CA	-5
128	Schefferville	CA	-5
129	Kindersley	CA	-6
130	Toronto	CA	-5
131	Chapleau	CA	-5
132	Meadow Lake	CA	-6
133	Lloydminster	CA	-7
134	Alert	CA	-5
135	Kelowna	CA	-8
136	Mayo	CA	-8
137	Moose Jaw	CA	-6
138	Fort Mcmurray	CA	-7
139	Moosonee	CA	-5
140	Maniwaki	CA	-5
142	Natashquan	CA	-5
143	Gatineau	CA	-5
144	Matagami	CA	-5
145	Old Crow	CA	-8
146	Cold Lake	CA	-7
147	High Level	CA	-7
148	Ottawa	CA	-5
149	Prince Albert	CA	-6
150	Peace River	CA	-7
151	Portage-la-prairie	CA	-6
152	Pitt Meadows	CA	-8
153	Pickle Lake	CA	-5
154	Port Menier	CA	-5
155	Peterborough	CA	-5
156	Prince Pupert	CA	-8
157	Fort Chipewyan	CA	-7
158	Muskoka	CA	-5
159	Quebec	CA	-5
160	Red Deer Industrial	CA	-7
161	Windsor	CA	-5
162	Watson Lake	CA	-8
163	Kenora	CA	-6
164	Lethbridge	CA	-7
165	Moncton	CA	-4
166	Comox	CA	-8
167	Regina	CA	-6
168	Thunder Bay	CA	-5
169	Grande Prairie	CA	-7
170	Yorkton	CA	-6
171	North Battleford	CA	-6
172	Gander	CA	-3.5
173	Sydney	CA	-4
174	Quesnel	CA	-8
175	Resolute	CA	-6
176	Riviere Du Loup	CA	-5
177	Roberval	CA	-5
178	Rocky Mountain House	CA	-7
179	Rankin Inlet	CA	-6
180	Sudbury	CA	-5
181	Sherbrooke	CA	-5
182	St. John	CA	-4
183	Fort Smith	CA	-7
184	Nanisivik	CA	-5
185	Summerside	CA	-4
186	Sachs Harbour	CA	-7
187	Cape Dorset	CA	-5
188	Thompson	CA	-6
189	Trenton	CA	-5
190	Timmins	CA	-5
192	Tuktoyaktuk	CA	-7
