	IATA	Name	Seats	Crew	Range
1	CRV	Aerospatiale (Sud Aviation) Se.210 Caravelle	35	7	3338
2	AT4	Aerospatiale/Alenia ATR 42-300	176	5	1360
3	AT5	Aerospatiale/Alenia ATR 42-500	211	6	2781
4	ATR	Aerospatiale/Alenia ATR 42-600	31	15	7026
5	AT7	Aerospatiale/Alenia ATR 72	294	15	6575
6	AB3	Airbus A300	189	16	5445
7	ABY	Airbus A300-600	167	7	13905
8	310	Airbus A310	229	2	7844
9	318	Airbus A318	219	6	4744
10	319	Airbus A319	207	12	14689
11	320	Airbus A320	280	3	15327
12	321	Airbus A321	248	12	9856
13	330	Airbus A330	282	14	9843
14	332	Airbus A330-200	130	11	11513
15	333	Airbus A330-300	295	3	12610
16	340	Airbus A340	281	16	7598
17	342	Airbus A340-200	167	18	12571
18	343	Airbus A340-300	68	17	4973
19	345	Airbus A340-500	161	16	8326
20	346	Airbus A340-600	109	2	1100
21	350	Airbus A350	195	15	7284
22	351	Airbus A350-1000	64	3	7466
23	359	Airbus A350-900	140	17	1418
24	380	Airbus A380	205	6	3856
25	388	Airbus A380-800	158	9	2914
26	A81	Antonov An-148	152	6	11450
27	A58	Antonov An-158	204	13	4753
28	AN7	Antonov AN-72	193	9	2807
29	AR1	Avro RJ100	195	17	5065
30	AR7	Avro RJ70	299	15	6458
31	AR8	Avro RJ85	266	11	4932
32	146	BAe 146	110	6	10878
33	141	BAe 146-100	190	17	13868
34	142	BAe 146-200	223	10	4396
35	143	BAe 146-300	259	8	5196
36	BEH	Beechcraft 1900	68	13	7224
38	BH2	Bell 212	212	15	15634
39	703	Boeing 707	151	13	15060
40	717	Boeing 717	77	15	2136
41	B72	Boeing 720B	216	13	3201
42	727	Boeing 727	168	12	8895
43	721	Boeing 727-100	282	9	1166
44	722	Boeing 727-200	259	17	12606
45	737	Boeing 737	97	17	10225
46	7M8	Boeing 737 MAX 8	127	6	5137
47	732	Boeing 737-200	239	6	8949
48	733	Boeing 737-300	197	8	5730
49	734	Boeing 737-400	80	16	3547
50	735	Boeing 737-500	32	16	7775
51	736	Boeing 737-600	223	15	12488
52	73G	Boeing 737-700	86	6	12184
53	738	Boeing 737-800	215	8	2903
54	739	Boeing 737-900	94	2	14389
55	747	Boeing 747	58	14	12569
56	741	Boeing 747-100	112	16	7185
57	742	Boeing 747-200	99	8	12976
58	743	Boeing 747-300	137	3	12869
59	744	Boeing 747-400	66	2	3392
60	748	Boeing 747-8	61	4	11015
61	74L	Boeing 747SP	283	11	14766
62	74R	Boeing 747SR	72	7	11793
63	757	Boeing 757	111	12	3300
64	752	Boeing 757-200	103	9	2771
65	753	Boeing 757-300	50	7	11855
66	767	Boeing 767	53	12	7501
67	762	Boeing 767-200	76	15	7920
68	763	Boeing 767-300	252	7	15680
69	764	Boeing 767-400	128	3	7291
70	777	Boeing 777	26	8	11118
71	772	Boeing 777-200	113	16	12226
72	77L	Boeing 777-200LR	263	12	6524
73	773	Boeing 777-300	91	13	11435
74	77W	Boeing 777-300ER	209	2	5907
75	787	Boeing 787	294	18	5103
76	78J	Boeing 787-10	235	9	11813
77	788	Boeing 787-8	283	11	14388
78	789	Boeing 787-9	180	5	5095
79	CS1	Bombardier CS100	46	13	6217
80	CS3	Bombardier CS300	211	2	8234
81	CCX	Bombardier Global Express	262	17	11430
82	ATP	British Aerospace ATP	132	8	14947
83	J31	British Aerospace Jetstream 31	75	12	8046
84	J32	British Aerospace Jetstream 32	96	7	1552
85	J41	British Aerospace Jetstream 41	171	7	9933
86	CL4	Canadair CL-44	219	16	5822
87	CR1	Canadair Regional Jet 100	225	17	14051
88	CRK	Canadair Regional Jet 1000	226	14	2233
89	CR2	Canadair Regional Jet 200	262	8	12582
90	CR7	Canadair Regional Jet 700	195	12	3145
91	CR9	Canadair Regional Jet 900	52	5	10424
92	CN1	Cessna 172	233	10	2925
93	CN1	Cessna 182 Skylane	73	18	5869
94	CN1	Cessna 208 Caravan	236	14	11477
95	CN1	Cessna 210 Centurion	222	10	10789
96	CNJ	Cessna Citation CJ3	277	5	2706
97	CNJ	Cessna Citation CJ4	136	18	14907
98	CNJ	Cessna Citation Excel	262	5	9144
99	CNJ	Cessna Citation I	60	5	11694
100	CNJ	Cessna Citation II	241	5	3963
101	CNJ	Cessna Citation Mustang	220	2	10497
102	CNJ	Cessna Citation Sovereign	262	10	4361
103	CNJ	Cessna Citation X	141	5	13521
105	SSC	Concorde	43	4	6745
106	D20	Dassault Falcon 2000	276	2	15819
107	DF7	Dassault Falcon 7X	26	16	6232
108	DHC	De Havilland Canada DHC-4 Caribou	287	18	1330
109	DHT	De Havilland Canada DHC-6 Twin Otter	217	10	11205
110	DH7	De Havilland Canada DHC-7 Dash 7	178	7	7761
111	DH3	De Havilland Canada DHC-8-300 Dash 8	249	4	3001
112	DH4	De Havilland Canada DHC-8-400 Dash 8Q	276	8	5715
113	D10	Douglas DC-10	23	9	2945
114	D3F	Douglas DC-3	168	10	14913
115	D6F	Douglas DC-6	69	12	5045
116	D91	Douglas DC-9-10	138	16	7684
117	D93	Douglas DC-9-30	156	2	9911
118	D94	Douglas DC-9-40	49	10	13077
119	D95	Douglas DC-9-50	264	4	13419
120	E70	Embraer 170	32	10	2519
121	E90	Embraer 190	101	2	1651
122	E95	Embraer 195	149	8	3873
123	EMB	Embraer EMB 110 Bandeirante	230	9	14332
124	EM2	Embraer EMB 120 Brasilia	28	13	2639
125	ER3	Embraer Legacy 600	248	17	11322
126	EP1	Embraer Phenom 100	21	4	3947
127	EP3	Embraer Phenom 300	246	18	14279
128	ER3	Embraer RJ135	270	12	1134
129	ERD	Embraer RJ140	267	3	6453
130	ER4	Embraer RJ145	115	14	2946
131	FRJ	Fairchild Dornier 328JET	85	9	2378
132	D28	Fairchild Dornier Do.228	60	18	15465
133	D38	Fairchild Dornier Do.328	145	3	13682
134	100	Fokker 100	252	10	6117
135	F50	Fokker 50	252	2	3580
136	F70	Fokker 70	231	6	8316
137	F27	Fokker F27 Friendship	46	12	10567
138	GJ4	Gulfstream IV	74	18	11879
139	GJ5	Gulfstream V	76	6	4808
140	YN2	Harbin Yunshuji Y12	132	5	5528
141	HS7	Hawker Siddeley HS 748	196	11	2997
142	IL8	Ilyushin IL18	89	12	12607
143	IL6	Ilyushin IL62	62	14	4120
144	IL7	Ilyushin IL76	228	7	8628
145	ILW	Ilyushin IL86	72	4	10604
146	I93	Ilyushin IL96	289	17	10989
147	LRJ	Learjet 35	69	10	9689
148	LRJ	Learjet 60	102	13	7130
149	LOE	Lockheed L-188 Electra	60	11	12561
150	M11	McDonnell Douglas MD-11	232	12	14924
151	M81	McDonnell Douglas MD-81	240	11	5823
152	M82	McDonnell Douglas MD-82	285	17	9852
153	M83	McDonnell Douglas MD-83	208	4	2425
154	M87	McDonnell Douglas MD-87	43	16	13346
155	M88	McDonnell Douglas MD-88	273	8	6974
156	M90	McDonnell Douglas MD-90	195	17	2742
157	YS1	NAMC YS-11	199	8	3989
158	PN6	Partenavia P.68	261	11	10784
159	BNT	Pilatus Britten-Norman BN-2A Mk III Trislander	280	18	5439
160	BNI	Pilatus Britten-Norman BN-2A/B Islander	148	13	8886
161	PL2	Pilatus PC-12	246	17	15953
162	PL6	Pilatus PC-6 Turbo Porter	246	16	3443
163	PA2	Piper PA-31 Navajo	79	11	9252
164	S20	Saab 2000	101	2	14393
165	SF3	Saab SF340A/B	193	17	4184
166	SH6	Shorts SD.360	238	2	7815
167	S61	Sikorsky S-61	124	2	13019
168	S76	Sikorsky S-76	146	18	1840
169	SU9	Sukhoi Superjet 100-95	210	7	7511
170	TU3	Tupolev Tu-134	25	8	4647
172	TU5	Tupolev Tu-154	230	9	7037
173	T20	Tupolev Tu-204	102	6	1064
174	YK4	Yakovlev Yak-40	124	12	10192
